topk,node,tested_nodes,detected_nodes,escaped_nodes,detected_faults,escaped_faults,node_cov_pct,fault_cov_pct
1,n44574,1,0,1,0,2,0.00,0.00
2,n43916,2,0,2,0,4,0.00,0.00
3,n42646,3,0,3,0,6,0.00,0.00
4,n40870,4,0,4,0,8,0.00,0.00
5,n42672,5,0,5,0,10,0.00,0.00
6,n44600,6,1,5,1,11,16.67,8.33
7,n42030,7,1,6,1,13,14.29,7.14
8,n40844,8,1,7,1,15,12.50,6.25
9,n39198,9,1,8,1,17,11.11,5.56
10,n39740,10,1,9,1,19,10.00,5.00
11,n45928,11,2,9,2,20,18.18,9.09
12,n39172,12,2,10,2,22,16.67,8.33
13,n46628,13,3,10,3,23,23.08,11.54
14,n38152,14,3,11,3,25,21.43,10.71
15,n46654,15,4,11,4,26,26.67,13.33
16,n48066,16,5,11,5,27,31.25,15.62
17,n15854,17,6,11,7,27,35.29,20.59
18,n14572,18,7,11,9,27,38.89,25.00
19,n16515,19,8,11,11,27,42.11,28.95
20,n48808,20,9,11,12,28,45.00,30.00
21,n14599,21,10,11,14,28,47.62,33.33
22,n13954,22,11,11,16,28,50.00,36.36
23,n42024,23,11,12,16,30,47.83,34.78
24,n12756,24,12,12,18,30,50.00,37.50
25,n16541,25,13,12,19,31,52.00,38.00
26,n44573,26,13,13,19,33,50.00,36.54
27,n12784,27,14,13,21,33,51.85,38.89
28,n37652,28,14,14,21,35,50.00,37.50
29,n42645,29,14,15,21,37,48.28,36.21
30,n40869,30,14,16,21,39,46.67,35.00
31,n43910,31,14,17,21,41,45.16,33.87
32,n42671,32,14,18,21,43,43.75,32.81
33,n17877,33,15,18,22,44,45.45,33.33
34,n44599,34,15,19,22,46,44.12,32.35
35,n39734,35,15,20,22,48,42.86,31.43
36,n40838,36,15,21,22,50,41.67,30.56
37,n45922,37,16,21,23,51,43.24,31.08
38,n48834,38,17,21,24,52,44.74,31.58
39,n37626,39,17,22,24,54,43.59,30.77
40,n18580,40,18,22,25,55,45.00,31.25
41,n39197,41,18,23,25,57,43.90,30.49
42,n11635,42,19,23,27,57,45.24,32.14
43,n39166,43,19,24,27,59,44.19,31.40
44,n46627,44,20,24,28,60,45.45,31.82
45,n18608,45,21,24,29,61,46.67,32.22
46,n50330,46,22,24,30,62,47.83,32.61
47,n11091,47,23,24,32,62,48.94,34.04
48,n44572,48,23,25,32,64,47.92,33.33
49,n11062,49,24,25,34,64,48.98,34.69
50,n42644,50,24,26,34,66,48.00,34.00
51,n36690,51,24,27,34,68,47.06,33.33
52,n40868,52,24,28,34,70,46.15,32.69
53,n46653,53,25,28,35,71,47.17,33.02
54,n42670,54,25,29,35,73,46.30,32.41
55,n48060,55,26,29,36,74,47.27,32.73
56,n44598,56,26,30,36,76,46.43,32.14
57,n20027,57,27,30,37,77,47.37,32.46
58,n15848,58,28,30,39,77,48.28,33.62
59,n36232,59,28,31,39,79,47.46,33.05
60,n13948,60,29,31,41,79,48.33,34.17
61,n16514,61,30,31,43,79,49.18,35.25
62,n51114,62,31,31,44,80,50.00,35.48
63,n38146,63,31,32,44,82,49.21,34.92
64,n39196,64,31,33,44,84,48.44,34.38
65,n48807,65,32,33,45,85,49.23,34.62
66,n10020,66,33,33,47,85,50.00,35.61
67,n14598,67,34,33,49,85,50.75,36.57
68,n20770,68,35,33,50,86,51.47,36.76
69,n17871,69,36,33,51,87,52.17,36.96
70,n14571,70,37,33,53,87,52.86,37.86
71,n46626,71,38,33,54,88,53.52,38.03
72,n36206,72,38,34,54,90,52.78,37.50
73,n12783,73,39,34,56,90,53.42,38.36
74,n16540,74,40,34,58,90,54.05,39.19
75,n12750,75,41,34,60,90,54.67,40.00
76,n37651,76,41,35,60,92,53.95,39.47
77,n48833,77,42,35,61,93,54.55,39.61
78,n46652,78,43,35,62,94,55.13,39.74
79,n35354,79,43,36,62,96,54.43,39.24
80,n20798,80,44,36,63,97,55.00,39.38
81,n18579,81,45,36,64,98,55.56,39.51
82,n34938,82,45,37,64,100,54.88,39.02
83,n50324,83,46,37,65,101,55.42,39.16
84,n51140,84,47,37,66,102,55.95,39.29
85,n16513,85,48,37,68,102,56.47,40.00
86,n11629,86,49,37,70,102,56.98,40.70
87,n37620,87,49,38,70,104,56.32,40.23
88,n22304,88,50,38,71,105,56.82,40.34
89,n14597,89,51,38,73,105,57.30,41.01
90,n14570,90,52,38,75,105,57.78,41.67
91,n9519,91,53,38,77,105,58.24,42.31
92,n48806,92,54,38,78,106,58.70,42.39
93,n12782,93,55,38,80,106,59.14,43.01
94,n42682,94,55,39,80,108,58.51,42.55
95,n43932,95,55,40,80,110,57.89,42.11
96,n42055,96,55,41,80,112,57.29,41.67
97,n43941,97,55,42,80,114,56.70,41.24
98,n34912,98,55,43,80,116,56.12,40.82
99,n16539,99,56,43,82,116,56.57,41.41
100,n40880,100,56,44,82,118,56.00,41.00
101,n18607,101,57,44,83,119,56.44,41.09
102,n11090,102,58,44,85,119,56.86,41.67
103,n34928,103,58,45,85,121,56.31,41.26
104,n20021,104,59,45,86,122,56.73,41.35
105,n20043,105,60,45,87,123,57.14,41.43
106,n44610,106,60,46,87,125,56.60,41.04
107,n44590,107,60,47,87,127,56.07,40.65
108,n39208,108,60,48,87,129,55.56,40.28
109,n45944,109,61,48,88,130,55.96,40.37
110,n42046,110,61,49,88,132,55.45,40.00
111,n42662,111,61,50,88,134,54.95,39.64
112,n9493,112,62,50,90,134,55.36,40.18
113,n37650,113,62,51,90,136,54.87,39.82
114,n36684,114,62,52,90,138,54.39,39.47
115,n11056,115,63,52,92,138,54.78,40.00
116,n43291,116,63,53,92,140,54.31,39.66
117,n45261,117,64,53,93,141,54.70,39.74
118,n17895,118,65,53,94,142,55.08,39.83
119,n45953,119,66,53,95,143,55.46,39.92
120,n38162,120,66,54,95,145,55.00,39.58
121,n37662,121,66,55,95,147,54.55,39.26
122,n18598,122,67,55,96,148,54.92,39.34
123,n23089,123,68,55,97,149,55.28,39.43
124,n33760,124,68,56,97,151,54.84,39.11
125,n51130,125,69,56,98,152,55.20,39.20
126,n18578,126,70,56,99,153,55.56,39.29
127,n52720,127,71,56,100,154,55.91,39.37
128,n20788,128,72,56,101,155,56.25,39.45
129,n8535,129,73,56,103,155,56.59,39.92
130,n48832,130,74,56,104,156,56.92,40.00
131,n46664,131,75,56,105,157,57.25,40.08
132,n46644,132,76,56,106,158,57.58,40.15
133,n36231,133,76,57,106,160,57.14,39.85
134,n28889,134,77,57,107,161,57.46,39.93
135,n40860,135,77,58,107,163,57.04,39.63
136,n28871,136,78,58,108,164,57.35,39.71
137,n28887,137,79,58,109,165,57.66,39.78
138,n51113,138,80,58,110,166,57.97,39.86
139,n41447,139,80,59,110,168,57.55,39.57
140,n32728,140,80,60,110,170,57.14,39.29
141,n31812,141,80,61,110,172,56.74,39.01
142,n16531,142,81,61,112,172,57.04,39.44
143,n37164,143,81,62,112,174,56.64,39.16
144,n28920,144,82,62,113,175,56.94,39.24
145,n36242,145,82,63,113,177,56.55,38.97
146,n28905,146,83,63,114,178,56.85,39.04
147,n22320,147,84,63,115,179,57.14,39.12
148,n48814,148,85,63,117,179,57.43,39.53
149,n47357,149,86,63,118,180,57.72,39.60
150,n33399,150,86,64,118,182,57.33,39.33
151,n48091,151,87,64,119,183,57.62,39.40
152,n40289,152,87,65,119,185,57.24,39.14
153,n48082,153,88,65,120,186,57.52,39.22
154,n15872,154,89,65,122,186,57.79,39.61
155,n20769,155,90,65,123,187,58.06,39.68
156,n36700,156,90,66,123,189,57.69,39.42
157,n34948,157,90,67,123,191,57.32,39.17
158,n21546,158,91,67,124,192,57.59,39.24
159,n36200,159,91,68,124,194,57.23,38.99
160,n28902,160,92,68,126,194,57.50,39.38
161,n47366,161,93,68,127,195,57.76,39.44
162,n39188,162,93,69,127,197,57.41,39.20
163,n28884,163,94,69,129,197,57.67,39.57
164,n28891,164,95,69,131,197,57.93,39.94
165,n11089,165,96,69,133,197,58.18,40.30
166,n17203,166,97,69,134,198,58.43,40.36
167,n39733,167,97,70,134,200,58.08,40.12
168,n26372,168,98,70,135,201,58.33,40.18
169,n18606,169,99,70,136,202,58.58,40.24
170,n35348,170,99,71,136,204,58.24,40.00
171,n35786,171,99,72,136,206,57.89,39.77
172,n45270,172,99,73,136,208,57.56,39.53
173,n35364,173,99,74,136,210,57.23,39.31
174,n46640,174,100,74,137,211,57.47,39.37
175,n38659,175,100,75,137,213,57.14,39.14
176,n44586,176,100,76,137,215,56.82,38.92
177,n55240,177,101,76,138,216,57.06,38.98
178,n14589,178,102,76,140,216,57.30,39.33
179,n23105,179,103,76,141,217,57.54,39.39
180,n48820,180,104,76,142,218,57.78,39.44
181,n28873,181,105,76,144,218,58.01,39.78
182,n28917,182,106,76,146,218,58.24,40.11
183,n20778,183,107,76,148,218,58.47,40.44
184,n45940,184,108,76,149,219,58.70,40.49
185,n42658,185,108,77,149,221,58.38,40.27
186,n20784,186,109,77,150,222,58.60,40.32
187,n18594,187,110,77,151,223,58.82,40.37
188,n48078,188,111,77,152,224,59.04,40.43
189,n48844,189,112,77,153,225,59.26,40.48
190,n23115,190,113,77,154,226,59.47,40.53
191,n23095,191,114,77,156,226,59.69,40.84
192,n43950,192,114,78,156,228,59.38,40.62
193,n52736,193,115,78,157,229,59.59,40.67
194,n33780,194,115,79,157,231,59.28,40.46
195,n32718,195,115,80,157,233,58.97,40.26
196,n37642,196,115,81,157,235,58.67,40.05
197,n43928,197,115,82,157,237,58.38,39.85
198,n51120,198,116,82,159,237,58.59,40.15
199,n20039,199,117,82,160,238,58.79,40.20
200,n44619,200,117,83,160,240,58.50,40.00
201,n31786,201,117,84,160,242,58.21,39.80
202,n34534,202,117,85,160,244,57.92,39.60
203,n34144,203,117,86,160,246,57.64,39.41
204,n45962,204,117,87,160,248,57.35,39.22
205,n38145,205,117,88,160,250,57.07,39.02
206,n13971,206,118,88,162,250,57.28,39.32
207,n50342,207,119,88,163,251,57.49,39.37
208,n42691,208,119,89,163,253,57.21,39.18
209,n17891,209,120,89,164,254,57.42,39.23
210,n33053,210,120,90,164,256,57.14,39.05
211,n8073,211,121,90,166,256,57.35,39.34
212,n22316,212,122,90,167,257,57.55,39.39
213,n42687,213,122,91,167,259,57.28,39.20
214,n10014,214,123,91,169,259,57.48,39.49
215,n42042,215,123,92,169,261,57.21,39.30
216,n28866,216,124,92,171,261,57.41,39.58
217,n53546,217,125,92,172,262,57.60,39.63
218,n34154,218,125,93,172,264,57.34,39.45
219,n23101,219,126,93,173,265,57.53,39.50
220,n48824,220,127,93,174,266,57.73,39.55
221,n46634,221,128,93,176,266,57.92,39.82
222,n16527,222,128,94,176,268,57.66,39.64
223,n44615,223,128,95,176,270,57.40,39.46
224,n25531,224,129,95,177,271,57.59,39.51
225,n51126,225,130,95,178,272,57.78,39.56
226,n18623,226,131,95,180,272,57.96,39.82
227,n33770,227,131,96,180,274,57.71,39.65
228,n28869,228,132,96,181,275,57.89,39.69
229,n20052,229,133,96,182,276,58.08,39.74
230,n46669,230,133,97,182,278,57.83,39.57
231,n46673,231,134,97,183,279,58.01,39.61
232,n31270,232,134,98,183,281,57.76,39.44
233,n18618,233,135,98,184,282,57.94,39.48
234,n28864,234,136,98,185,283,58.12,39.53
235,n34937,235,136,99,185,285,57.87,39.36
236,n28915,236,137,99,186,286,58.05,39.41
237,n17904,237,138,99,187,287,58.23,39.45
238,n36222,238,138,100,187,289,57.98,39.29
239,n42064,239,138,101,187,291,57.74,39.12
240,n20813,240,139,101,188,292,57.92,39.17
241,n28120,241,140,101,189,293,58.09,39.21
242,n36230,242,140,102,189,295,57.85,39.05
243,n45279,243,140,103,189,297,57.61,38.89
244,n48849,244,141,103,190,298,57.79,38.93
245,n18632,245,142,103,191,299,57.96,38.98
246,n42060,246,142,104,191,301,57.72,38.82
247,n43284,247,142,105,191,303,57.49,38.66
248,n45254,248,142,106,191,305,57.26,38.51
249,n20797,249,143,106,192,306,57.43,38.55
250,n16556,250,143,107,192,308,57.20,38.40
251,n12774,251,144,107,194,308,57.37,38.65
252,n43946,252,144,108,194,310,57.14,38.49
253,n5942,253,145,108,196,310,57.31,38.74
254,n16565,254,145,109,196,312,57.09,38.58
255,n18614,255,146,109,197,313,57.25,38.63
256,n32738,256,146,110,197,315,57.03,38.48
257,n49588,257,147,110,198,316,57.20,38.52
258,n40856,258,147,111,198,318,56.98,38.37
259,n28128,259,148,111,199,319,57.14,38.42
260,n43309,260,148,112,199,321,56.92,38.27
261,n20804,261,149,112,200,322,57.09,38.31
262,n48830,262,150,112,201,323,57.25,38.36
263,n42696,263,150,113,201,325,57.03,38.21
264,n20794,264,151,113,202,326,57.20,38.26
265,n23111,265,152,113,203,327,57.36,38.30
266,n51136,266,153,113,204,328,57.52,38.35
267,n17909,267,154,113,205,329,57.68,38.39
268,n51112,268,155,113,206,330,57.84,38.43
269,n45958,269,155,114,206,332,57.62,38.29
270,n42705,270,155,115,206,334,57.41,38.15
271,n46650,271,156,115,207,335,57.56,38.19
272,n51139,272,157,115,208,336,57.72,38.24
273,n15868,273,157,116,208,338,57.51,38.10
274,n18641,274,158,116,210,338,57.66,38.32
275,n20057,275,159,116,211,339,57.82,38.36
276,n20822,276,160,116,212,340,57.97,38.41
277,n50355,277,161,116,213,341,58.12,38.45
278,n18604,278,162,116,214,342,58.27,38.49
279,n55236,279,163,116,215,343,58.42,38.53
280,n16574,280,163,117,215,345,58.21,38.39
281,n28882,281,164,117,216,346,58.36,38.43
282,n44596,282,164,118,216,348,58.16,38.30
283,n54382,283,165,118,217,349,58.30,38.34
284,n44624,284,165,119,217,351,58.10,38.20
285,n18588,285,166,119,219,351,58.25,38.42
286,n48840,286,167,119,220,352,58.39,38.46
287,n46660,287,168,119,221,353,58.54,38.50
288,n26368,288,169,119,222,354,58.68,38.54
289,n33408,289,169,120,222,356,58.48,38.41
290,n42668,290,169,121,222,358,58.28,38.28
291,n42700,291,169,122,222,360,58.08,38.14
292,n14568,292,169,123,222,362,57.88,38.01
293,n22298,293,170,123,223,363,58.02,38.05
294,n56104,294,171,123,224,364,58.16,38.10
295,n20808,295,172,123,225,365,58.31,38.14
296,n44606,296,172,124,225,367,58.11,38.01
297,n40885,297,172,125,225,369,57.91,37.88
298,n46678,298,172,126,225,371,57.72,37.75
299,n27223,299,173,126,226,372,57.86,37.79
300,n16583,300,173,127,226,374,57.67,37.67
301,n39184,301,173,128,226,376,57.48,37.54
302,n18650,302,174,128,227,377,57.62,37.58
303,n42678,303,174,129,227,379,57.43,37.46
304,n15221,304,175,129,229,379,57.57,37.66
305,n16537,305,175,130,229,381,57.38,37.54
306,n48858,306,176,130,230,382,57.52,37.58
307,n51110,307,177,130,231,383,57.65,37.62
308,n17918,308,178,130,233,383,57.79,37.82
309,n23085,309,179,130,234,384,57.93,37.86
310,n48096,310,180,130,235,385,58.06,37.90
311,n34910,311,180,131,235,387,57.88,37.78
312,n48804,312,181,131,236,388,58.01,37.82
313,n44633,313,181,132,236,390,57.83,37.70
314,n20766,314,182,132,237,391,57.96,37.74
315,n28112,315,183,132,238,392,58.10,37.78
316,n8047,316,184,132,240,392,58.23,37.97
317,n46624,317,185,132,241,393,58.36,38.01
318,n24720,318,186,132,242,394,58.49,38.05
319,n48100,319,187,132,243,395,58.62,38.09
320,n16547,320,187,133,243,397,58.44,37.97
321,n20066,321,188,133,244,398,58.57,38.01
322,n20831,322,189,133,245,399,58.70,38.04
323,n23130,323,190,133,246,400,58.82,38.08
324,n42073,324,190,134,246,402,58.64,37.96
325,n28900,325,191,134,247,403,58.77,38.00
326,n51155,326,192,134,248,404,58.90,38.04
327,n40903,327,192,135,248,406,58.72,37.92
328,n17900,328,193,135,250,406,58.84,38.11
329,n53542,329,194,135,251,407,58.97,38.15
330,n37638,330,194,136,251,409,58.79,38.03
331,n25527,331,195,136,252,410,58.91,38.07
332,n42078,332,195,137,252,412,58.73,37.95
333,n20048,333,196,137,253,413,58.86,37.99
334,n44570,334,196,138,253,415,58.68,37.87
335,n43959,335,196,139,253,417,58.51,37.76
336,n42069,336,196,140,253,419,58.33,37.65
337,n48867,337,197,140,254,420,58.46,37.69
338,n14585,338,197,141,254,422,58.28,37.57
339,n32399,339,197,142,254,424,58.11,37.46
340,n18576,340,198,142,255,425,58.24,37.50
341,n56122,341,199,142,256,426,58.36,37.54
342,n28092,342,200,142,257,427,58.48,37.57
343,n46687,343,200,143,257,429,58.31,37.46
344,n14650,344,200,144,257,431,58.14,37.35
345,n39213,345,200,145,257,433,57.97,37.25
346,n53558,346,201,145,258,434,58.09,37.28
347,n14595,347,201,146,258,436,57.93,37.18
348,n16592,348,201,147,258,438,57.76,37.07
349,n42642,349,201,148,258,440,57.59,36.96
350,n42709,350,201,149,258,442,57.43,36.86
351,n40894,351,201,150,258,444,57.26,36.75
352,n16551,352,202,150,260,444,57.39,36.93
353,n52732,353,203,150,261,445,57.51,36.97
354,n14614,354,203,151,261,447,57.34,36.86
355,n18659,355,204,151,263,447,57.46,37.04
356,n14623,356,204,152,263,449,57.30,36.94
357,n31802,357,204,153,263,451,57.14,36.83
358,n23121,358,205,153,264,452,57.26,36.87
359,n14641,359,205,154,264,454,57.10,36.77
360,n17927,360,206,154,265,455,57.22,36.81
361,n14632,361,206,155,265,457,57.06,36.70
362,n33070,362,206,156,265,459,56.91,36.60
363,n43955,363,206,157,265,461,56.75,36.50
364,n39194,364,206,158,265,463,56.59,36.40
365,n23904,365,207,158,266,464,56.71,36.44
366,n15895,366,207,159,266,466,56.56,36.34
367,n37648,367,207,160,266,468,56.40,36.24
368,n22334,368,208,160,267,469,56.52,36.28
369,n5565,369,209,160,269,469,56.64,36.45
370,n42714,370,209,161,269,471,56.49,36.35
371,n44628,371,209,162,269,473,56.33,36.25
372,n50360,372,210,162,270,474,56.45,36.29
373,n24716,373,211,162,271,475,56.57,36.33
374,n16511,374,211,163,271,477,56.42,36.23
375,n20840,375,212,163,273,477,56.53,36.40
376,n6727,376,212,164,273,479,56.38,36.30
377,n51146,377,213,164,274,480,56.50,36.34
378,n10018,378,213,165,274,482,56.35,36.24
379,n45967,379,213,166,274,484,56.20,36.15
380,n14659,380,213,167,274,486,56.05,36.05
381,n45949,381,213,168,274,488,55.91,35.96
382,n20768,382,214,168,275,489,56.02,35.99
383,n11081,383,215,168,277,489,56.14,36.16
384,n39231,384,215,169,277,491,55.99,36.07
385,n40866,385,215,170,277,493,55.84,35.97
386,n47375,386,216,170,278,494,55.96,36.01
387,n37155,387,216,171,278,496,55.81,35.92
388,n25543,388,217,171,279,497,55.93,35.95
389,n15886,389,217,172,279,499,55.78,35.86
390,n50346,390,218,172,280,500,55.90,35.90
391,n23139,391,219,172,281,501,56.01,35.93
392,n42082,392,219,173,281,503,55.87,35.84
393,n16601,393,219,174,281,505,55.73,35.75
394,n48876,394,219,175,281,507,55.58,35.66
395,n17936,395,220,175,283,507,55.70,35.82
396,n20075,396,221,175,285,507,55.81,35.98
397,n22325,397,222,175,286,508,55.92,36.02
398,n39222,398,222,176,286,510,55.78,35.93
399,n43964,399,222,177,286,512,55.64,35.84
400,n43937,400,222,178,286,514,55.50,35.75
401,n36228,401,222,179,286,516,55.36,35.66
402,n31022,402,222,180,286,518,55.22,35.57
403,n48087,403,223,180,287,519,55.33,35.61
404,n37667,404,223,181,287,521,55.20,35.52
405,n44642,405,223,182,287,523,55.06,35.43
406,n18668,406,224,182,288,524,55.17,35.47
407,n48105,407,225,182,289,525,55.28,35.50
408,n42051,408,225,183,289,527,55.15,35.42
409,n34934,409,225,184,289,529,55.01,35.33
410,n51164,410,226,184,290,530,55.12,35.37
411,n32095,411,226,185,290,532,54.99,35.28
412,n45976,412,226,186,290,534,54.85,35.19
413,n24703,413,227,186,291,535,54.96,35.23
414,n28911,414,228,186,292,536,55.07,35.27
415,n50351,415,229,186,293,537,55.18,35.30
416,n43968,416,229,187,293,539,55.05,35.22
417,n14668,417,229,188,293,541,54.92,35.13
418,n48885,418,229,189,293,543,54.78,35.05
419,n40898,419,229,190,293,545,54.65,34.96
420,n20849,420,230,190,294,546,54.76,35.00
421,n15904,421,230,191,294,548,54.63,34.92
422,n38150,422,230,192,294,550,54.50,34.83
423,n18627,423,231,192,295,551,54.61,34.87
424,n39178,424,231,193,295,553,54.48,34.79
425,n16610,425,231,194,295,555,54.35,34.71
426,n49579,426,232,194,296,556,54.46,34.74
427,n33766,427,232,195,296,558,54.33,34.66
428,n32102,428,232,196,296,560,54.21,34.58
429,n22343,429,233,196,297,561,54.31,34.62
430,n40889,430,233,197,297,563,54.19,34.53
431,n42723,431,233,198,297,565,54.06,34.45
432,n46696,432,233,199,297,567,53.94,34.38
433,n14605,433,233,200,297,569,53.81,34.30
434,n36218,434,233,201,297,571,53.69,34.22
435,n52714,435,234,201,298,572,53.79,34.25
436,n32724,436,234,202,298,574,53.67,34.17
437,n37685,437,234,203,298,576,53.55,34.10
438,n18677,438,235,203,300,576,53.65,34.25
439,n22329,439,236,203,301,577,53.76,34.28
440,n23148,440,237,203,302,578,53.86,34.32
441,n20084,441,238,203,303,579,53.97,34.35
442,n17945,442,239,203,304,580,54.07,34.39
443,n50369,443,240,203,305,581,54.18,34.42
444,n29404,444,240,204,305,583,54.05,34.35
445,n54398,445,241,204,306,584,54.16,34.38
446,n37676,446,241,205,306,586,54.04,34.30
447,n15913,447,241,206,306,588,53.91,34.23
448,n48894,448,241,207,306,590,53.79,34.15
449,n15922,449,241,208,306,592,53.67,34.08
450,n51173,450,242,208,307,593,53.78,34.11
451,n31808,451,242,209,307,595,53.66,34.04
452,n14677,452,242,210,307,597,53.54,33.96
453,n1031,453,242,211,307,599,53.42,33.89
454,n44651,454,242,212,307,601,53.30,33.81
455,n15931,455,242,213,307,603,53.19,33.74
456,n15877,456,242,214,307,605,53.07,33.66
457,n54386,457,243,214,308,606,53.17,33.70
458,n11087,458,243,215,308,608,53.06,33.62
459,n12780,459,243,216,308,610,52.94,33.55
460,n39240,460,243,217,308,612,52.83,33.48
461,n48114,461,243,218,308,614,52.71,33.41
462,n42087,462,243,219,308,616,52.60,33.33
463,n15881,463,244,219,310,616,52.70,33.48
464,n16619,464,244,220,310,618,52.59,33.41
465,n20858,465,245,220,312,618,52.69,33.55
466,n20061,466,246,220,313,619,52.79,33.58
467,n40912,467,246,221,313,621,52.68,33.51
468,n30354,468,246,222,313,623,52.56,33.44
469,n46705,469,246,223,313,625,52.45,33.37
470,n18686,470,247,223,314,626,52.55,33.40
471,n31018,471,247,224,314,628,52.44,33.33
472,n9509,472,248,224,316,628,52.54,33.47
473,n17954,473,249,224,318,628,52.64,33.62
474,n14686,474,249,225,318,630,52.53,33.54
475,n45971,475,249,226,318,632,52.42,33.47
476,n29816,476,249,227,318,634,52.31,33.40
477,n8533,477,249,228,318,636,52.20,33.33
478,n23157,478,250,228,319,637,52.30,33.37
479,n28853,479,251,228,320,638,52.40,33.40
480,n18636,480,252,228,322,638,52.50,33.54
481,n17913,481,253,228,324,638,52.60,33.68
482,n9487,482,254,228,326,638,52.70,33.82
483,n44637,483,254,229,326,640,52.59,33.75
484,n28851,484,255,229,327,641,52.69,33.78
485,n41440,485,255,230,327,643,52.58,33.71
486,n16628,486,255,231,327,645,52.47,33.64
487,n45985,487,255,232,327,647,52.36,33.57
488,n48853,488,256,232,328,648,52.46,33.61
489,n48903,489,256,233,328,650,52.35,33.54
490,n50378,490,257,233,329,651,52.45,33.57
491,n53562,491,258,233,330,652,52.55,33.60
492,n43318,492,258,234,330,654,52.44,33.54
493,n40876,493,258,235,330,656,52.33,33.47
494,n22352,494,259,235,331,657,52.43,33.50
495,n20093,495,260,235,333,657,52.53,33.64
496,n20867,496,261,235,334,658,52.62,33.67
497,n7176,497,261,236,334,660,52.52,33.60
498,n51182,498,262,236,335,661,52.61,33.63
499,n37703,499,262,237,335,663,52.51,33.57
500,n2724,500,262,238,335,665,52.40,33.50
501,n37694,501,262,239,335,667,52.30,33.43
502,n17922,502,263,239,337,667,52.39,33.57
503,n43973,503,263,240,337,669,52.29,33.50
504,n36247,504,263,241,337,671,52.18,33.43
505,n17963,505,264,241,338,672,52.28,33.47
506,n1471,506,264,242,338,674,52.17,33.40
507,n2037,507,264,243,338,676,52.07,33.33
508,n36683,508,264,244,338,678,51.97,33.27
509,n42732,509,264,245,338,680,51.87,33.20
510,n46714,510,264,246,338,682,51.76,33.14
511,n39204,511,264,247,338,684,51.66,33.07
512,n23166,512,265,247,339,685,51.76,33.11
513,n53585,513,266,247,340,686,51.85,33.14
514,n44660,514,266,248,340,688,51.75,33.07
515,n14021,515,266,249,340,690,51.65,33.01
516,n13994,516,266,250,340,692,51.55,32.95
517,n53576,517,267,250,341,693,51.64,32.98
518,n13967,518,267,251,341,695,51.54,32.92
519,n48912,519,267,252,341,697,51.45,32.85
520,n16637,520,267,253,341,699,51.35,32.79
521,n20876,521,268,253,343,699,51.44,32.92
522,n39249,522,268,254,343,701,51.34,32.85
523,n18695,523,269,254,345,701,51.43,32.98
524,n45994,524,269,255,345,703,51.34,32.92
525,n28855,525,270,255,347,703,51.43,33.05
526,n42096,526,270,256,347,705,51.33,32.98
527,n15940,527,270,257,347,707,51.23,32.92
528,n14695,528,270,258,347,709,51.14,32.86
529,n37658,529,270,259,347,711,51.04,32.80
530,n40921,530,270,260,347,713,50.94,32.74
531,n43327,531,270,261,347,715,50.85,32.67
532,n48123,532,270,262,347,717,50.75,32.61
533,n36256,533,270,263,347,719,50.66,32.55
534,n36265,534,270,264,347,721,50.56,32.49
535,n46723,535,270,265,347,723,50.47,32.43
536,n6754,536,270,266,347,725,50.37,32.37
537,n51191,537,271,266,348,726,50.47,32.40
538,n25561,538,272,266,349,727,50.56,32.43
539,n26384,539,273,266,350,728,50.65,32.47
540,n14012,540,273,267,350,730,50.56,32.41
541,n716,541,273,268,350,732,50.46,32.35
542,n34924,542,273,269,350,734,50.37,32.29
543,n25570,543,274,269,351,735,50.46,32.32
544,n42741,544,274,270,351,737,50.37,32.26
545,n44669,545,274,271,351,739,50.28,32.20
546,n25552,546,275,271,352,740,50.37,32.23
547,n14039,547,275,272,352,742,50.27,32.18
548,n5561,548,275,273,352,744,50.18,32.12
549,n47350,549,276,273,353,745,50.27,32.15
550,n53567,550,277,273,354,746,50.36,32.18
551,n14003,551,277,274,354,748,50.27,32.12
552,n16646,552,277,275,354,750,50.18,32.07
553,n22361,553,278,275,355,751,50.27,32.10
554,n23175,554,279,275,356,752,50.36,32.13
555,n4490,555,279,276,356,754,50.27,32.07
556,n9515,556,279,277,356,756,50.18,32.01
557,n3540,557,279,278,356,758,50.09,31.96
558,n14704,558,279,279,356,760,50.00,31.90
559,n13985,559,279,280,356,762,49.91,31.84
560,n20102,560,280,280,357,763,50.00,31.87
561,n20885,561,281,280,358,764,50.09,31.91
562,n50387,562,282,280,359,765,50.18,31.94
563,n16569,563,283,280,361,765,50.27,32.06
564,n20817,564,284,280,362,766,50.35,32.09
565,n18704,565,285,280,363,767,50.44,32.12
566,n46732,566,285,281,363,769,50.35,32.07
567,n46682,567,285,282,363,771,50.26,32.01
568,n24734,568,286,282,364,772,50.35,32.04
569,n14030,569,286,283,364,774,50.26,31.99
570,n8069,570,286,284,364,776,50.18,31.93
571,n43982,571,286,285,364,778,50.09,31.87
572,n29119,572,286,286,364,780,50.00,31.82
573,n52750,573,287,286,365,781,50.09,31.85
574,n48132,574,287,287,365,783,50.00,31.79
575,n39226,575,287,288,365,785,49.91,31.74
576,n48921,576,287,289,365,787,49.83,31.68
577,n46777,577,287,290,365,789,49.74,31.63
578,n51200,578,288,290,366,790,49.83,31.66
579,n14048,579,288,291,366,792,49.74,31.61
580,n32408,580,288,292,366,794,49.66,31.55
581,n36274,581,288,293,366,796,49.57,31.50
